team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
N.J,2014,N.J,N.J,Team Level,5on4,82,0.86,0.85,0.83,20405.0,239.27,32.5,20.44,47.15,7.62,146.9,78.39,31.4,32.5,31.4,237.0,96.0,100.0,433.0,39.0,20.0,11.0,54.0,10.0,111.0,99.0,198.0,294.0,12.0,27.0,191.0,23.0,11.0,64.0,223.0,74.0,36.0,5.13,8.66,18.71,5.0,9.0,25.0,433.0,333.0,333.0,3.0,5.23,8.5,9.03,28.7,28.7,27.8,49.2,5.35,2.21,6.63,1.41,13.46,37.94,5.22,5.35,5.22,57.0,10.0,7.0,74.0,5.0,4.0,1.0,9.0,1.0,10.0,38.0,52.0,62.0,6.0,12.0,169.0,59.0,60.0,25.0,47.0,7.0,13.0,1.07,0.94,3.35,2.0,1.0,2.0,74.0,67.0,67.0,24.0,0.52,1.25,1.25,4.63,4.63,4.61
ARI,2014,ARI,ARI,Team Level,other,82,0.39,0.48,0.48,9974.0,142.25,18.88,9.93,28.75,4.7,81.67,55.06,17.94,18.88,17.94,141.0,58.0,57.0,256.0,13.0,12.0,1.0,37.0,5.0,66.0,66.0,128.0,186.0,14.0,31.0,145.0,59.0,24.0,19.0,137.0,42.0,20.0,4.43,5.07,9.37,2.0,4.0,7.0,256.0,199.0,199.0,10.0,2.8,3.04,2.53,19.14,19.14,18.53,156.18,29.25,10.24,30.0,5.06,77.29,63.17,28.44,29.25,28.44,155.0,60.0,59.0,274.0,28.0,12.0,4.0,28.0,9.0,68.0,70.0,127.0,187.0,6.0,18.0,123.0,44.0,36.0,21.0,122.0,51.0,42.0,4.29,5.64,19.31,3.0,5.0,20.0,274.0,215.0,215.0,10.0,2.83,3.55,3.9,28.18,28.18,27.6
ARI,2014,ARI,ARI,Team Level,all,82,0.44,0.48,0.47,299726.0,2415.78,198.61,162.99,565.09,79.84,1362.49,1015.05,191.51,197.4,190.32,2393.0,992.0,1234.0,4619.0,165.0,197.0,29.0,611.0,62.0,1115.0,1235.0,2228.0,3220.0,332.0,756.0,2666.0,2489.0,490.0,538.0,2683.0,522.0,180.0,71.08,62.99,64.52,62.0,45.0,58.0,4548.07,3385.0,3345.95,286.0,35.8,41.08,41.63,192.71,191.36,187.78,2726.84,251.94,188.19,618.64,88.36,1518.07,1124.8,243.42,254.41,245.83,2722.0,1068.0,1271.0,5061.0,267.0,203.0,56.0,642.0,89.0,1256.0,1333.0,2455.0,3523.0,285.0,659.0,2476.0,2451.0,537.0,604.0,2856.0,680.0,254.0,79.16,81.41,91.36,81.0,79.0,107.0,5150.96,3790.0,3847.18,308.0,41.54,49.09,51.67,241.81,243.99,238.99
ARI,2014,ARI,ARI,Team Level,5on5,82,0.45,0.49,0.48,241688.0,1888.32,133.78,120.66,456.7,61.77,1056.39,806.77,129.55,132.57,128.36,1860.0,777.0,987.0,3624.0,106.0,145.0,20.0,488.0,46.0,864.0,988.0,1754.0,2531.0,295.0,676.0,2038.0,2279.0,397.0,424.0,2145.0,386.0,106.0,57.33,46.81,29.63,53.0,33.0,20.0,3553.07,2637.0,2597.95,241.0,24.75,28.8,29.25,129.21,127.87,126.09,2062.31,160.71,134.74,488.03,66.64,1142.97,868.9,156.33,163.19,158.75,2046.0,816.0,963.0,3825.0,174.0,139.0,37.0,498.0,62.0,950.0,1039.0,1872.0,2688.0,255.0,590.0,1902.0,2280.0,444.0,499.0,2212.0,518.0,132.0,61.91,62.05,36.74,67.0,64.0,43.0,3914.96,2862.0,2919.18,267.0,27.81,29.68,31.01,157.52,159.69,157.35
ARI,2014,ARI,ARI,Team Level,4on5,82,0.07,0.09,0.09,26223.0,44.06,4.59,2.31,5.79,1.32,11.86,40.13,4.53,4.59,4.53,55.0,11.0,20.0,86.0,4.0,3.0,0.0,9.0,1.0,10.0,39.0,51.0,62.0,11.0,25.0,241.0,91.0,58.0,30.0,45.0,13.0,8.0,0.8,1.61,2.18,2.0,0.0,2.0,86.0,66.0,66.0,27.0,0.54,0.45,0.4,4.73,4.73,4.69,451.89,57.09,40.39,93.25,15.04,281.14,146.11,53.76,57.09,53.76,459.0,174.0,236.0,869.0,60.0,52.0,15.0,109.0,15.0,226.0,171.0,399.0,573.0,14.0,31.0,280.0,45.0,17.0,65.0,464.0,96.0,73.0,11.5,11.86,33.74,11.0,7.0,42.0,869.0,633.0,633.0,14.0,10.26,15.85,16.76,50.58,50.58,48.52
ARI,2014,ARI,ARI,Team Level,5on4,82,0.89,0.88,0.86,21841.0,341.15,41.37,30.09,73.84,12.04,212.56,113.09,39.49,41.37,39.49,337.0,146.0,170.0,653.0,42.0,37.0,8.0,77.0,10.0,175.0,142.0,295.0,441.0,12.0,24.0,242.0,60.0,11.0,65.0,356.0,81.0,46.0,8.53,9.51,23.33,5.0,8.0,29.0,653.0,483.0,483.0,8.0,7.69,8.79,9.45,39.61,39.61,38.46,56.45,4.89,2.8,7.37,1.62,16.68,46.63,4.88,4.89,4.88,62.0,18.0,13.0,93.0,5.0,0.0,0.0,7.0,3.0,12.0,53.0,57.0,75.0,10.0,20.0,171.0,82.0,40.0,19.0,58.0,15.0,7.0,1.47,1.85,1.58,0.0,3.0,2.0,93.0,80.0,80.0,17.0,0.63,0.0,0.0,5.53,5.53,5.51
PHI,2014,PHI,PHI,Team Level,other,82,0.5,0.51,0.52,9304.0,166.44,27.93,11.45,32.71,5.62,90.1,62.19,26.28,27.93,26.28,182.0,48.0,83.0,313.0,24.0,11.0,4.0,42.0,3.0,65.0,85.0,158.0,206.0,2.0,4.0,137.0,46.0,19.0,26.0,124.0,72.0,34.0,4.8,9.16,13.98,0.0,8.0,16.0,313.0,230.0,230.0,15.0,3.3,3.04,3.04,28.2,28.2,27.13,153.2,27.94,10.03,29.71,5.07,77.8,63.46,27.14,27.94,27.14,151.0,63.0,87.0,301.0,27.0,12.0,6.0,33.0,5.0,65.0,72.0,124.0,187.0,11.0,25.0,156.0,52.0,18.0,34.0,133.0,45.0,36.0,4.61,5.8,17.53,3.0,8.0,16.0,301.0,214.0,214.0,19.0,2.73,3.31,3.31,27.36,27.36,27.0
PHI,2014,PHI,PHI,Team Level,all,82,0.49,0.5,0.49,301283.0,2409.5,224.23,163.21,553.5,78.1,1342.4,991.57,214.97,224.18,214.89,2413.0,940.0,1275.0,4628.0,212.0,176.0,38.0,649.0,69.0,1046.0,1201.0,2201.0,3141.0,316.0,729.0,2571.0,2511.0,413.0,588.0,2488.0,644.0,221.0,71.71,76.86,75.65,58.0,75.0,79.0,4611.85,3353.0,3344.03,386.0,36.36,41.22,42.49,218.09,217.82,212.59,2501.65,232.73,168.81,579.57,81.26,1359.19,1022.45,225.33,234.7,227.21,2481.0,963.0,1248.0,4692.0,223.0,208.0,52.0,619.0,73.0,1071.0,1250.0,2258.0,3221.0,307.0,711.0,2456.0,2428.0,503.0,617.0,2556.0,670.0,218.0,71.93,82.66,78.14,58.0,82.0,83.0,4711.15,3444.0,3461.66,379.0,37.23,44.32,45.58,224.38,225.97,221.94
PHI,2014,PHI,PHI,Team Level,5on5,82,0.48,0.49,0.49,242198.0,1829.05,143.82,116.7,438.6,58.63,1010.75,765.51,139.78,143.78,139.7,1807.0,727.0,982.0,3516.0,133.0,120.0,23.0,526.0,54.0,780.0,921.0,1674.0,2401.0,288.0,667.0,1940.0,2317.0,333.0,481.0,1955.0,466.0,113.0,56.97,55.5,31.34,49.0,52.0,32.0,3499.85,2534.0,2525.03,325.0,24.03,25.37,26.64,141.21,140.94,139.0,1930.25,156.49,123.85,464.72,62.29,1047.35,794.29,151.82,158.46,153.7,1915.0,734.0,965.0,3614.0,135.0,147.0,34.0,507.0,62.0,815.0,983.0,1780.0,2514.0,268.0,625.0,1880.0,2242.0,424.0,478.0,2007.0,517.0,125.0,56.67,63.81,36.02,38.0,63.0,34.0,3633.15,2649.0,2666.66,312.0,25.57,31.98,32.57,149.5,151.09,148.77
PHI,2014,PHI,PHI,Team Level,4on5,82,0.08,0.11,0.13,25710.0,48.95,3.45,1.93,6.17,1.4,14.13,45.91,3.39,3.45,3.39,58.0,15.0,12.0,85.0,2.0,2.0,0.0,6.0,1.0,16.0,46.0,56.0,71.0,10.0,23.0,233.0,107.0,43.0,41.0,63.0,6.0,4.0,1.59,0.63,1.23,2.0,0.0,0.0,85.0,73.0,73.0,37.0,0.44,0.58,0.58,3.32,3.32,3.3,358.65,42.4,32.16,77.86,12.19,218.04,117.34,40.55,42.4,40.55,342.0,158.0,186.0,686.0,55.0,46.0,11.0,68.0,2.0,185.0,144.0,287.0,445.0,15.0,35.0,222.0,48.0,14.0,66.0,359.0,92.0,49.0,9.32,10.99,22.1,14.0,11.0,30.0,686.0,500.0,500.0,11.0,8.27,8.32,8.99,41.68,41.68,40.35
PHI,2014,PHI,PHI,Team Level,5on4,82,0.89,0.89,0.86,24071.0,365.06,49.03,33.12,76.01,12.46,227.43,117.96,45.52,49.03,45.52,366.0,150.0,198.0,714.0,53.0,43.0,11.0,75.0,11.0,185.0,149.0,313.0,463.0,16.0,35.0,261.0,41.0,18.0,40.0,346.0,100.0,70.0,8.35,11.57,29.11,7.0,15.0,31.0,714.0,516.0,516.0,9.0,8.57,12.23,12.23,45.36,45.36,43.15,59.55,5.89,2.77,7.27,1.71,16.0,47.36,5.83,5.89,5.83,73.0,8.0,10.0,91.0,6.0,3.0,1.0,11.0,4.0,6.0,51.0,67.0,75.0,13.0,26.0,198.0,86.0,47.0,39.0,57.0,16.0,8.0,1.34,2.07,2.49,3.0,0.0,3.0,91.0,81.0,81.0,37.0,0.66,0.71,0.71,5.85,5.85,5.84
DET,2014,DET,DET,Team Level,other,82,0.53,0.5,0.52,12060.0,174.56,31.7,11.75,33.16,5.67,94.62,66.1,28.68,31.7,28.68,175.0,68.0,76.0,319.0,33.0,11.0,5.0,38.0,4.0,74.0,83.0,142.0,210.0,10.0,20.0,163.0,49.0,20.0,27.0,145.0,51.0,47.0,5.14,6.17,20.39,9.0,3.0,21.0,319.0,243.0,243.0,15.0,3.41,3.49,3.62,31.5,31.5,28.7,162.4,28.36,10.95,30.38,5.63,91.43,58.25,27.33,28.36,27.33,165.0,60.0,90.0,315.0,29.0,6.0,5.0,30.0,12.0,79.0,69.0,136.0,196.0,13.0,26.0,176.0,42.0,23.0,29.0,143.0,43.0,39.0,4.82,5.28,18.26,4.0,5.0,20.0,315.0,225.0,225.0,17.0,3.18,2.52,3.02,28.52,28.52,27.82
DET,2014,DET,DET,Team Level,all,82,0.52,0.53,0.52,301059.0,2412.55,225.9,167.38,543.87,77.83,1348.75,986.28,215.73,226.74,216.55,2429.0,921.0,1149.0,4499.0,231.0,150.0,41.0,658.0,105.0,1040.0,1166.0,2198.0,3119.0,333.0,692.0,2581.0,1569.0,415.0,601.0,2504.0,622.0,224.0,70.2,76.23,79.46,68.0,76.0,87.0,4515.83,3350.0,3358.23,352.0,37.4,36.17,37.46,225.85,226.72,219.43,2248.1,206.08,151.67,507.59,72.88,1265.17,934.61,198.89,206.36,199.19,2322.0,816.0,908.0,4046.0,211.0,127.0,40.0,537.0,89.0,984.0,1190.0,2111.0,2927.0,341.0,718.0,2434.0,1930.0,456.0,563.0,2412.0,521.0,205.0,68.72,63.42,73.94,65.0,62.0,84.0,4041.36,3138.0,3138.9,364.0,33.72,31.39,33.29,206.51,206.95,201.98
DET,2014,DET,DET,Team Level,5on5,82,0.52,0.53,0.52,236166.0,1785.54,135.57,116.98,423.54,57.45,998.0,747.45,132.35,136.41,133.16,1798.0,681.0,880.0,3359.0,132.0,97.0,22.0,512.0,83.0,771.0,884.0,1666.0,2347.0,281.0,585.0,1928.0,1408.0,327.0,466.0,1930.0,446.0,103.0,54.96,53.57,27.04,47.0,56.0,29.0,3375.83,2479.0,2487.23,298.0,24.06,19.84,20.48,139.15,140.01,138.28,1641.04,124.7,105.13,389.38,52.82,915.5,700.48,121.58,124.98,121.87,1702.0,586.0,636.0,2924.0,126.0,88.0,26.0,408.0,61.0,686.0,919.0,1576.0,2162.0,296.0,625.0,1761.0,1754.0,366.0,447.0,1821.0,368.0,99.0,51.64,45.34,27.72,51.0,41.0,34.0,2919.36,2288.0,2288.9,305.0,21.58,19.33,20.85,125.43,125.88,124.1
DET,2014,DET,DET,Team Level,4on5,82,0.08,0.11,0.12,25906.0,52.01,4.39,2.41,6.96,1.66,14.64,44.94,4.34,4.39,4.34,59.0,16.0,12.0,87.0,3.0,5.0,0.0,16.0,5.0,9.0,37.0,56.0,72.0,19.0,40.0,210.0,74.0,51.0,36.0,53.0,20.0,2.0,1.26,2.53,0.59,1.0,1.0,1.0,87.0,75.0,75.0,35.0,0.55,0.29,0.25,4.68,4.68,4.65,385.34,47.55,33.06,79.81,12.73,240.95,128.9,44.55,47.55,44.55,389.0,154.0,168.0,711.0,48.0,31.0,8.0,86.0,14.0,207.0,157.0,341.0,495.0,20.0,40.0,268.0,49.0,26.0,51.0,387.0,98.0,58.0,10.61,11.44,25.5,8.0,15.0,25.0,711.0,543.0,543.0,6.0,8.38,9.2,9.14,46.79,46.79,44.31
DET,2014,DET,DET,Team Level,5on4,82,0.91,0.88,0.87,26927.0,400.43,54.24,36.25,80.21,13.04,241.47,127.79,50.37,54.24,50.37,397.0,156.0,181.0,734.0,63.0,37.0,14.0,92.0,13.0,186.0,162.0,334.0,490.0,23.0,47.0,280.0,38.0,17.0,72.0,376.0,105.0,72.0,8.83,13.96,31.45,11.0,16.0,36.0,734.0,553.0,553.0,4.0,9.38,12.55,13.1,50.53,50.53,47.79,59.33,5.45,2.52,8.03,1.7,17.3,46.98,5.44,5.45,5.44,66.0,16.0,14.0,96.0,8.0,2.0,1.0,13.0,2.0,12.0,45.0,58.0,74.0,12.0,27.0,229.0,85.0,41.0,36.0,61.0,12.0,9.0,1.64,1.35,2.46,2.0,1.0,5.0,96.0,82.0,82.0,36.0,0.6,0.34,0.29,5.77,5.77,5.75
MIN,2014,MIN,MIN,Team Level,other,82,0.51,0.45,0.47,13394.0,137.52,25.5,9.63,25.2,4.52,76.74,50.41,24.28,25.5,24.28,141.0,51.0,55.0,247.0,21.0,6.0,3.0,30.0,7.0,74.0,54.0,120.0,171.0,6.0,12.0,147.0,30.0,18.0,23.0,121.0,38.0,33.0,4.43,4.6,16.47,3.0,5.0,13.0,247.0,192.0,192.0,19.0,2.69,2.07,2.99,25.21,25.21,24.35,152.85,24.35,10.69,29.4,5.01,82.75,60.8,23.56,24.35,23.56,155.0,58.0,91.0,304.0,19.0,9.0,1.0,27.0,6.0,84.0,68.0,136.0,194.0,7.0,14.0,134.0,38.0,31.0,20.0,126.0,58.0,29.0,4.53,6.79,13.04,3.0,5.0,11.0,304.0,213.0,213.0,13.0,2.9,2.24,2.41,24.84,24.84,24.16
MIN,2014,MIN,MIN,Team Level,all,82,0.55,0.51,0.52,298408.0,2495.16,231.66,175.88,559.87,80.97,1405.12,1023.49,222.04,232.83,223.15,2522.0,955.0,1116.0,4593.0,227.0,185.0,39.0,615.0,82.0,1078.0,1290.0,2295.0,3250.0,289.0,669.0,2491.0,1323.0,585.0,522.0,2588.0,675.0,214.0,78.71,80.76,72.18,68.0,79.0,80.0,4619.17,3477.0,3492.53,292.0,38.59,41.27,43.63,226.62,227.51,222.21,2276.78,190.42,156.4,518.83,72.57,1285.08,953.68,185.03,190.39,185.01,2266.0,911.0,1233.0,4410.0,198.0,145.0,27.0,516.0,71.0,998.0,1249.0,2068.0,2979.0,305.0,700.0,2504.0,1642.0,474.0,609.0,2430.0,599.0,148.0,69.78,70.27,50.38,66.0,77.0,55.0,4385.64,3177.0,3167.41,369.0,34.2,29.05,29.38,195.25,195.22,192.04
MIN,2014,MIN,MIN,Team Level,5on5,82,0.55,0.51,0.52,238184.0,1945.16,162.35,128.86,453.81,62.53,1082.51,814.94,156.77,163.52,157.89,1947.0,758.0,897.0,3602.0,166.0,131.0,29.0,493.0,60.0,829.0,1026.0,1781.0,2539.0,254.0,585.0,1905.0,1217.0,497.0,419.0,2056.0,516.0,133.0,63.41,61.46,37.49,58.0,59.0,49.0,3628.17,2705.0,2720.53,246.0,26.63,29.87,31.31,157.67,158.57,156.18,1782.47,133.33,116.49,421.78,56.64,1000.93,754.84,129.68,133.28,129.67,1773.0,711.0,969.0,3453.0,146.0,108.0,22.0,416.0,55.0,752.0,1007.0,1627.0,2338.0,267.0,609.0,1947.0,1482.0,384.0,502.0,1950.0,442.0,92.0,56.77,51.45,25.1,56.0,62.0,28.0,3428.64,2484.0,2474.41,323.0,23.98,21.79,22.12,135.18,135.16,133.45
MIN,2014,MIN,MIN,Team Level,4on5,82,0.12,0.12,0.14,22410.0,46.7,3.93,2.0,6.11,1.34,13.72,36.89,3.88,3.93,3.88,45.0,19.0,15.0,79.0,4.0,2.0,1.0,4.0,4.0,2.0,48.0,41.0,60.0,16.0,44.0,206.0,42.0,45.0,23.0,50.0,10.0,4.0,1.37,1.39,1.17,1.0,2.0,1.0,79.0,64.0,64.0,22.0,0.46,0.62,0.62,3.76,3.76,3.75,291.63,28.09,26.83,60.7,9.47,186.76,98.15,27.18,28.09,27.18,286.0,124.0,162.0,572.0,30.0,25.0,4.0,66.0,10.0,151.0,128.0,256.0,380.0,21.0,54.0,214.0,37.0,15.0,59.0,306.0,79.0,25.0,7.19,9.11,11.8,7.0,8.0,15.0,572.0,410.0,410.0,5.0,6.76,4.65,4.48,30.37,30.37,29.59
MIN,2014,MIN,MIN,Team Level,5on4,82,0.9,0.89,0.88,24420.0,365.78,39.87,35.39,74.76,12.59,232.16,121.24,37.11,39.87,37.11,389.0,127.0,149.0,665.0,36.0,46.0,6.0,88.0,11.0,173.0,162.0,353.0,480.0,13.0,28.0,233.0,34.0,25.0,57.0,361.0,111.0,44.0,9.51,13.32,17.04,6.0,13.0,17.0,665.0,516.0,516.0,5.0,8.82,8.69,8.71,39.97,39.97,37.93,49.83,4.66,2.41,6.94,1.47,14.64,39.88,4.6,4.66,4.6,52.0,18.0,11.0,81.0,3.0,3.0,0.0,7.0,0.0,11.0,46.0,49.0,67.0,10.0,23.0,209.0,85.0,44.0,28.0,48.0,20.0,2.0,1.3,2.92,0.45,0.0,2.0,1.0,81.0,70.0,70.0,28.0,0.56,0.37,0.37,4.85,4.85,4.84
NYI,2014,NYI,NYI,Team Level,other,82,0.56,0.52,0.52,12844.0,154.41,28.45,10.84,29.31,5.32,81.7,57.36,26.79,28.45,26.79,162.0,51.0,72.0,285.0,24.0,13.0,3.0,35.0,7.0,68.0,66.0,138.0,189.0,5.0,10.0,117.0,56.0,33.0,37.0,124.0,47.0,42.0,4.2,5.45,18.8,1.0,5.0,18.0,285.0,213.0,213.0,21.0,3.12,3.48,4.04,27.53,27.53,26.69,138.59,22.26,8.92,27.52,4.69,75.03,56.59,21.26,22.26,21.26,134.0,61.0,63.0,258.0,17.0,7.0,1.0,23.0,6.0,70.0,72.0,117.0,178.0,11.0,22.0,146.0,44.0,38.0,40.0,127.0,39.0,29.0,4.48,4.43,13.34,4.0,4.0,9.0,258.0,195.0,195.0,22.0,2.4,1.77,1.77,22.9,22.9,22.04
NYI,2014,NYI,NYI,Team Level,all,82,0.55,0.53,0.54,300474.0,2738.48,261.71,190.28,627.29,92.53,1505.47,1136.72,251.24,263.02,252.5,2771.0,1043.0,1313.0,5127.0,245.0,199.0,58.0,659.0,97.0,1247.0,1367.0,2526.0,3569.0,268.0,592.0,2402.0,2685.0,774.0,929.0,2848.0,695.0,271.0,84.51,83.47,93.72,77.0,71.0,97.0,5170.61,3814.0,3846.8,489.0,41.81,48.27,51.09,252.43,253.53,248.09,2309.26,211.08,157.25,525.98,76.44,1275.22,974.09,203.86,210.32,203.17,2321.0,900.0,1323.0,4544.0,224.0,159.0,38.0,578.0,77.0,1027.0,1156.0,2097.0,2997.0,320.0,695.0,2478.0,2173.0,728.0,817.0,2463.0,559.0,199.0,71.52,67.25,72.3,80.0,74.0,70.0,4514.44,3221.0,3204.0,427.0,34.36,40.08,41.56,203.82,203.39,199.58
NYI,2014,NYI,NYI,Team Level,5on5,82,0.55,0.53,0.54,243060.0,2164.87,182.86,142.4,514.43,72.42,1188.48,915.41,176.92,184.18,178.18,2171.0,845.0,1075.0,4091.0,171.0,128.0,40.0,533.0,74.0,999.0,1111.0,2000.0,2845.0,226.0,508.0,1881.0,2517.0,638.0,746.0,2310.0,543.0,163.0,70.06,65.28,47.52,65.0,57.0,49.0,4134.61,3016.0,3048.8,415.0,29.36,30.39,32.53,179.69,180.79,177.37,1838.69,148.43,120.89,432.1,59.99,1015.4,782.18,143.81,147.68,143.13,1843.0,716.0,1104.0,3663.0,158.0,121.0,26.0,483.0,61.0,819.0,917.0,1685.0,2401.0,283.0,621.0,1900.0,1993.0,594.0,683.0,2009.0,426.0,124.0,59.7,51.7,37.03,69.0,58.0,31.0,3633.44,2559.0,2542.0,364.0,24.88,28.54,30.03,143.29,142.86,140.74
NYI,2014,NYI,NYI,Team Level,4on5,82,0.15,0.16,0.18,19571.0,65.82,6.19,2.79,8.73,1.87,18.45,49.97,6.14,6.19,6.14,74.0,14.0,15.0,103.0,9.0,4.0,1.0,13.0,2.0,14.0,46.0,65.0,79.0,15.0,30.0,170.0,84.0,72.0,41.0,66.0,14.0,8.0,1.84,1.57,2.79,4.0,0.0,5.0,103.0,88.0,88.0,36.0,0.65,0.52,0.77,6.08,6.08,6.06,285.17,35.4,25.2,60.43,10.32,172.14,95.57,33.82,35.4,33.82,292.0,108.0,149.0,549.0,46.0,30.0,10.0,64.0,8.0,130.0,122.0,246.0,354.0,13.0,26.0,218.0,35.0,22.0,53.0,283.0,78.0,39.0,6.21,9.46,19.72,7.0,11.0,28.0,549.0,400.0,400.0,6.0,6.56,9.22,9.22,32.67,32.67,31.84
NYI,2014,NYI,NYI,Team Level,5on4,82,0.9,0.9,0.88,24999.0,353.37,44.2,34.25,74.81,12.92,216.84,113.98,41.4,44.2,41.4,364.0,133.0,151.0,648.0,41.0,54.0,14.0,78.0,14.0,166.0,144.0,323.0,456.0,22.0,44.0,234.0,28.0,31.0,105.0,348.0,91.0,58.0,8.41,11.17,24.62,7.0,9.0,25.0,648.0,497.0,497.0,17.0,8.69,13.88,13.76,39.13,39.13,37.98,46.79,4.98,2.26,5.94,1.43,12.64,39.74,4.96,4.98,4.96,52.0,15.0,7.0,74.0,3.0,1.0,1.0,8.0,2.0,8.0,45.0,49.0,64.0,13.0,26.0,214.0,101.0,74.0,41.0,44.0,16.0,7.0,1.11,1.66,2.21,0.0,1.0,2.0,74.0,67.0,67.0,35.0,0.52,0.54,0.54,4.96,4.96,4.96
PIT,2014,PIT,PIT,Team Level,other,82,0.53,0.52,0.53,12313.0,175.55,28.92,11.19,34.04,5.36,87.97,74.52,28.16,28.92,28.16,178.0,64.0,66.0,308.0,22.0,7.0,2.0,22.0,9.0,87.0,95.0,156.0,220.0,16.0,37.0,162.0,61.0,32.0,28.0,146.0,60.0,36.0,5.1,7.12,16.71,5.0,4.0,13.0,308.0,242.0,242.0,4.0,3.03,2.31,2.31,29.65,29.65,29.04,152.0,25.4,10.33,28.29,5.05,85.01,57.93,23.04,25.4,23.04,166.0,46.0,70.0,282.0,26.0,3.0,1.0,26.0,10.0,76.0,71.0,140.0,186.0,8.0,16.0,176.0,60.0,26.0,24.0,124.0,55.0,33.0,4.03,6.95,14.42,7.0,8.0,11.0,282.0,212.0,212.0,12.0,3.1,0.55,0.68,27.82,27.82,25.33
PIT,2014,PIT,PIT,Team Level,all,82,0.52,0.52,0.52,300094.0,2551.28,232.24,173.77,575.14,80.88,1396.51,1052.48,223.59,234.3,225.6,2594.0,917.0,1165.0,4676.0,217.0,176.0,46.0,538.0,103.0,1190.0,1287.0,2377.0,3294.0,388.0,889.0,2396.0,2495.0,441.0,581.0,2663.0,611.0,237.0,76.62,73.46,82.16,61.0,76.0,80.0,4727.62,3511.0,3545.32,294.0,38.53,42.23,42.59,228.17,230.18,225.13,2343.24,217.03,164.61,531.02,75.86,1297.73,953.76,207.6,217.28,207.8,2401.0,839.0,1094.0,4334.0,204.0,168.0,33.0,446.0,89.0,1093.0,1240.0,2197.0,3036.0,363.0,837.0,2487.0,2353.0,503.0,530.0,2416.0,612.0,212.0,69.65,74.85,72.52,65.0,72.0,67.0,4315.12,3240.0,3232.66,279.0,36.96,37.39,38.02,215.96,215.94,209.49
